AB.A.delta.h.T3,AB.A.delta.l.T4,AB.A.delta.c.F7,AB.A.delta.g.F8,AB.B.theta.h.T3,AB.B.theta.l.T4,AB.B.theta.c.F7,AB.B.theta.g.F8,AB.C.alpha.h.T3,AB.C.alpha.l.T4,AB.C.alpha.c.F7,AB.C.alpha.g.F8,AB.D.beta.h.T3,AB.D.beta.l.T4,AB.D.beta.c.F7,AB.D.beta.g.F8,AB.E.highbeta.h.T3,AB.E.highbeta.l.T4,AB.E.highbeta.c.F7,AB.E.highbeta.g.F8,AB.F.gamma.h.T3,AB.F.gamma.l.T4,AB.F.gamma.c.F7,AB.F.gamma.g.F8,COH.A.delta.h.T3.l.T4,COH.A.delta.c.F7.g.F8,COH.B.theta.h.T3.l.T4,COH.B.theta.c.F7.g.F8,COH.C.alpha.h.T3.l.T4,COH.C.alpha.c.F7.g.F8,COH.D.beta.h.T3.l.T4,COH.D.beta.c.F7.g.F8,COH.E.highbeta.h.T3.l.T4,COH.E.highbeta.c.F7.g.F8,COH.F.gamma.h.T3.l.T4,COH.F.gamma.c.F7.g.F8
6.572976,7.522122,14.977824,21.302096,4.741311,4.385692,10.445326,11.961372,22.988803,12.211715,44.705955,37.733389,6.836226,5.181181,12.400363,13.189996,0.608211,0.584444,1.083954,1.387537,0.360505,0.298391,0.51668,0.74649,22.771252,21.57607,31.458741,47.293368,22.786548,50.041152,22.939236,39.453958,37.155388,38.021449,20.139068,22.949831
9.806957,8.876044,9.649153,8.348353,5.047192,4.321936,6.021747,5.861192,12.09372,10.855935,15.403634,15.847791,11.980484,9.893728,9.711743,10.760166,2.137669,1.514721,1.761351,1.660481,1.763603,1.307056,1.429734,1.363518,9.420709,32.052477,1.147247,17.453493,12.972749,15.58306,1.107039,28.214783,9.580634,31.947431,6.53807,24.800518
18.685685,30.148472,22.630097,27.696426,12.683561,19.494691,16.985953,17.603423,10.994942,21.387473,17.364102,19.444951,25.342624,39.960347,36.058249,40.557896,5.999424,8.006057,9.380898,8.755391,4.678313,6.233657,6.61307,6.607852,77.705125,71.594523,72.256672,78.041258,54.141391,72.511376,42.005252,65.48559,53.6337,67.019147,74.060556,87.76474
7.305407,9.244553,13.731359,18.834494,4.559502,9.789347,9.291595,12.624541,9.423507,28.028535,24.706691,26.623829,8.656112,24.31936,11.371317,17.487879,0.830841,0.947712,1.103265,1.115529,0.69829,0.431408,0.591929,0.5138,14.530977,41.228433,5.36941,43.817188,3.017782,46.17937,10.122929,35.306173,59.182835,57.389733,82.735547,82.625829
16.802304,20.925062,18.953387,19.547259,10.119539,9.396112,12.623835,11.030804,4.427621,4.656523,5.241228,4.759024,7.965747,8.42056,8.557202,10.051199,1.651765,1.732915,1.497034,1.878081,2.536937,2.757747,2.340134,3.325935,3.097448,12.521561,0.484183,19.001986,0.045159,24.35933,2.988241,30.538648,9.941973,44.712913,15.38637,52.577219
12.871289,14.891855,15.678712,17.685324,9.062888,13.837537,13.334906,17.773899,14.699909,19.127785,19.354717,20.397575,8.236235,11.192103,12.176807,15.896493,1.407667,1.536227,2.178875,2.521159,0.404665,0.492821,0.636601,0.684646,0.432334,0.316963,1.188212,18.025198,1.807929,74.686333,0.144301,35.226729,0.935258,10.894811,3.084239,21.410552
5.593611,4.762344,8.668374,7.69155,4.216248,2.910419,6.365468,4.99917,14.866097,14.236068,31.362638,31.329445,4.679835,3.984725,8.449558,7.25039,0.517934,0.477347,1.315014,1.130184,0.28958,0.413834,1.10223,0.837042,2.767463,4.513378,1.038259,19.902015,4.019235,45.708041,10.482855,47.751146,27.693634,48.705983,47.242347,57.457411
9.285783,6.982973,12.208874,9.07394,7.376905,3.764935,8.780273,5.266097,17.231756,7.988168,22.771103,15.199119,4.265212,2.706981,4.71119,3.162485,0.657067,0.536776,0.700318,0.502239,0.655066,0.632054,0.627075,0.469713,5.896673,3.186342,3.041758,21.032068,33.115363,73.464956,7.86742,57.159517,9.40075,21.149015,6.245935,16.919633
6.615646,8.988299,13.005029,12.784349,9.177415,10.758162,21.396645,16.540637,18.86977,22.044703,48.908461,32.130955,6.807356,12.307091,12.817631,15.683339,1.58515,2.392491,2.644736,3.513117,2.877946,5.260015,4.1037,7.041606,22.938225,20.635467,21.546822,34.200542,33.348828,44.824045,11.004905,11.560922,10.454183,8.134535,30.110325,8.259214
4.829028,7.705238,6.264664,11.983579,3.305271,5.022937,4.40688,6.975442,6.691048,6.338781,8.975173,8.956125,7.805968,8.913495,9.407832,10.04418,2.064903,1.819105,2.361971,2.218163,1.464066,1.322148,2.203172,1.767212,36.707718,4.270864,7.920564,5.531757,12.690896,48.87776,8.852101,27.853719,9.560129,17.327469,13.685033,25.607145
16.598677,15.480003,24.161484,25.313638,5.31914,4.802078,8.176911,7.373306,3.620928,3.398708,4.418463,5.912642,3.516637,4.276243,4.61977,5.261211,0.629055,0.963599,0.866264,0.947767,0.778693,1.348993,0.86113,1.196397,4.84356,2.978182,2.584809,2.890438,0.618768,17.064168,7.17368,23.918838,21.097622,31.980976,27.682825,40.53821
49.120872,33.465268,75.37441,49.317011,132.827877,108.762837,138.683709,130.021954,44.601363,31.760426,43.079856,35.272922,31.674781,24.399245,32.045791,26.560638,3.99102,3.10663,4.115443,3.734829,5.266133,4.396485,5.337664,4.815551,9.83014,18.178333,8.461389,27.729649,5.291138,71.328202,0.160963,11.62717,1.43083,4.134746,3.500111,2.066609
6.483453,9.054558,7.896839,9.139395,4.186065,12.686409,6.079434,11.256712,8.176841,22.009003,14.09044,20.461127,4.388063,10.892239,6.257352,10.5431,0.897761,1.645185,1.161606,1.728029,0.783531,1.347307,0.942788,1.344815,1.815132,9.820145,1.900116,21.76009,1.505041,46.705134,3.633205,26.157739,10.319874,18.923988,11.591424,22.517247
8.813494,12.970126,11.831707,11.83858,11.5101,14.428233,15.38867,19.121511,32.505071,37.746222,50.00755,62.747193,30.501571,18.550234,24.198448,26.189339,2.304906,2.41888,3.176824,2.135345,2.36199,3.364815,3.517191,2.477089,26.747303,19.732016,21.732351,26.793347,5.748564,38.988338,4.697353,33.98611,2.270089,16.205432,18.082983,47.25923
8.517744,9.563837,9.914554,16.795733,4.225492,4.92967,6.39255,9.150309,6.896254,9.007027,11.470692,14.00328,5.139727,7.218772,9.420182,8.228221,0.951715,0.799874,2.217491,0.777034,1.922266,0.968934,3.506357,0.761478,12.792176,21.029892,5.482275,27.136517,14.767203,50.00788,3.776337,26.937994,18.488214,28.384296,30.60477,36.594294
22.861536,20.999503,23.367134,24.974715,10.914143,9.385119,10.482279,10.783108,22.086521,15.043552,28.771095,21.866822,11.442928,9.110145,11.422916,10.624018,1.648735,1.188636,1.662822,1.390616,1.133391,0.813741,1.103861,0.986953,22.069103,34.449442,40.944928,68.135655,24.759798,71.762771,7.179184,32.585088,5.842988,15.860418,10.923622,38.152551
8.111513,6.785234,13.824387,12.179327,5.047101,4.573521,9.584216,7.681533,21.441947,23.33341,40.383194,32.725192,6.675262,7.595655,8.692147,10.111625,0.951007,1.586688,1.296535,1.272514,0.303746,0.429827,0.294116,0.403928,23.325948,14.193273,10.1829,28.471212,12.947863,77.775295,8.423519,41.376376,2.553839,2.31884,3.504592,29.125451
13.311896,9.436825,23.626977,13.464202,9.781828,6.235656,17.724298,11.521818,7.330739,5.947257,14.764841,9.528974,4.624009,4.132255,7.026832,4.602758,0.850449,0.85324,1.280051,0.98913,1.14932,1.272216,1.738285,1.222781,35.072411,31.008034,15.168803,45.629689,8.223149,59.330674,4.970997,31.52452,10.33206,27.334818,15.510304,39.476312
16.710799,19.14239,23.554015,28.366812,12.548853,14.111083,17.278279,19.41536,6.44207,7.494536,9.7744,10.471281,7.064189,8.019975,9.915679,10.606344,0.841779,0.970641,1.484992,1.337618,0.959356,1.242052,1.490302,1.716978,2.045322,18.770407,37.760008,67.982082,58.447485,83.840953,16.194331,48.41604,26.427983,41.873284,40.847468,55.037814
15.819313,18.977132,18.991416,18.53548,13.342733,14.784896,17.32741,16.072352,12.548779,16.422782,17.013728,19.813203,16.265315,14.965718,18.958516,22.768733,3.460859,2.780854,3.930823,5.519948,2.284196,1.628312,2.410206,4.052415,13.187629,20.277687,12.14226,25.630338,14.860846,64.961964,2.727966,30.114535,4.088529,16.47799,4.025161,16.515454
6.989932,8.489145,9.042192,10.113465,5.485961,6.17269,7.7078,9.143816,7.161686,9.654518,12.056221,12.97544,2.993745,3.402866,3.759122,4.262948,0.639223,0.571975,0.662035,0.668989,0.376593,0.36456,0.384003,0.407922,6.702972,4.70442,1.208303,5.281329,63.286039,82.496104,19.239578,53.190264,31.991637,34.146315,37.562838,52.819257
9.385622,9.582104,7.833095,6.681706,5.811939,3.670688,6.598336,4.470392,13.256384,5.650824,12.84734,9.586074,9.830317,6.615403,9.522997,8.2287,2.592031,1.69115,3.053629,3.033704,0.868876,1.041866,1.187001,1.483643,3.037177,0.792703,8.551363,28.420163,5.748848,60.305229,19.090623,38.074223,36.144323,36.167314,56.316602,45.243701
11.57132,7.719927,16.750393,11.387737,10.737387,6.935806,16.850669,10.921557,10.005346,5.74917,12.153794,8.449559,6.178655,3.919478,7.403761,6.270544,0.741689,0.478637,1.166265,1.335614,0.398276,0.225078,0.995376,0.646153,21.286875,5.511547,19.728352,13.842141,42.496209,62.196609,20.795417,33.08588,21.275901,30.389843,15.011525,30.073512
10.842985,8.525041,17.945502,18.760104,4.78598,4.418951,7.981303,7.253879,3.887749,3.799016,5.91404,5.472885,3.71634,4.56947,5.624866,6.261214,0.586082,0.550052,0.991102,0.917837,0.254684,0.240271,0.372763,0.361959,5.811704,5.389035,5.208986,19.42783,24.267293,74.011872,0.552315,37.131822,4.58826,18.375964,7.35669,19.760713
14.632724,15.464489,19.180183,19.340141,7.37524,8.420534,10.1696,11.055131,10.433253,11.248758,15.489281,16.48837,6.762112,8.77319,9.342875,11.041241,0.797132,1.07226,1.170399,1.29483,0.5981,0.812906,0.914364,1.02105,5.188258,4.581535,4.552263,43.663882,25.149831,78.682933,0.816449,29.059038,6.901139,39.212437,11.855072,52.835429
4.9482,4.493412,8.626638,5.754688,2.1738,2.325065,3.445297,3.490756,7.867106,10.778899,16.75092,19.046611,4.053045,3.391591,5.182649,4.240235,0.740303,0.675895,0.925778,0.858808,0.509922,0.499653,0.581366,0.561823,11.409368,16.104036,16.641051,31.994457,30.283953,77.5207,10.864774,32.58126,12.746167,16.25998,21.749252,29.388211
6.967869,9.079632,10.642282,17.35826,3.433528,3.739784,4.690282,7.168077,8.486424,14.577332,23.70764,26.169807,4.858692,4.165626,4.331629,5.477484,0.815152,0.49636,0.721228,0.841604,0.646978,0.384068,0.458386,0.543409,17.155565,8.228891,25.142653,32.483699,39.825327,52.092611,73.003386,83.844513,75.310632,63.745717,86.354629,89.76191
4.437518,7.961094,6.797405,9.611828,2.244669,4.831848,4.227245,6.446089,6.548279,13.934289,18.260051,21.773445,4.633616,9.180343,9.387336,12.999293,0.851849,1.37496,1.61294,2.317397,0.846048,1.565667,1.378485,2.329173,21.344446,2.242527,6.919737,4.521262,21.027442,40.925128,9.151557,25.167463,6.677443,11.76807,15.447808,17.195504
5.135608,13.982957,6.500065,14.822232,5.83955,9.925677,8.132727,12.980763,30.061855,27.93017,35.416803,57.990919,6.732677,12.240872,9.108925,15.146698,0.606132,1.386795,0.918255,1.604816,0.477518,1.402549,0.652759,1.325015,19.433509,16.140895,12.293817,18.924616,4.012735,21.021248,2.23324,18.978169,18.802361,26.267571,16.680921,28.918534
6.97342,5.236751,9.303799,8.353487,4.143691,3.663991,5.652125,4.974666,3.983207,2.329437,5.664399,2.815146,4.673566,2.910044,3.179571,2.817251,0.957722,0.628998,0.671702,0.604173,0.698301,0.362494,0.352858,0.269936,3.284436,6.740806,2.395727,14.325677,5.540577,37.292086,9.663241,32.014978,24.726653,23.268156,30.516609,32.997461
9.822004,7.528074,13.362962,9.796653,6.445333,4.489254,9.804086,7.222622,14.353878,7.23137,19.495497,15.726928,4.408147,3.386678,5.539261,4.770859,0.807595,0.66384,1.189637,1.00214,0.517979,0.421508,0.830189,0.706657,18.513162,24.882141,26.43984,60.158142,39.273312,77.191441,15.372584,50.30682,10.585,27.838051,8.607022,27.77376
